Date,Open,High,Low,Close,Adj Close,Volume
2017-10-17,18.75,18.75,18.5,18.75,16.21345329284668,500
2017-10-18,18.25,18.5,18.25,18.399999618530273,15.910801887512207,520
2017-10-19,18.149999618530273,18.5,18.0,18.0,15.564919471740723,200
2017-10-20,18.5,18.5,18.0,18.25,15.781091690063477,1280
2017-10-23,18.0,18.25,18.0,18.25,15.781091690063477,1380
2017-10-24,18.25,18.75,18.25,18.600000381469727,16.083749771118164,320
2017-10-25,18.0,18.5,18.0,18.0,15.564919471740723,1980
2017-10-26,18.5,18.75,18.25,18.75,16.21345329284668,1040
2017-10-27,18.049999237060547,18.75,18.0,18.75,16.21345329284668,1120
2017-10-30,17.75,18.0,17.75,18.0,15.564919471740723,580
2017-10-31,17.75,18.0,17.5,17.75,15.348739624023438,1880
2017-11-01,17.700000762939453,18.25,17.700000762939453,18.0,15.564919471740723,3340
2017-11-02,17.0,18.600000381469727,17.0,18.25,15.781091690063477,1940
2017-11-03,18.25,18.5,18.25,18.5,15.99727725982666,1300
2017-11-06,18.100000381469727,19.0,17.25,19.0,16.429637908935547,8320
2017-11-07,18.75,19.25,18.25,19.0,16.429637908935547,8620
2017-11-08,18.75,19.25,18.5,18.75,16.21345329284668,16560
2017-11-09,18.5,19.0,18.450000762939453,19.0,16.429637908935547,2700
2017-11-10,19.25,19.950000762939453,19.0,19.5,16.861989974975586,3420
2017-11-13,19.5,19.75,19.25,19.25,16.645816802978516,2700
2017-11-14,19.25,19.75,19.25,19.75,17.078174591064453,2120
2017-11-15,19.75,19.899999618530273,19.0,19.899999618530273,17.207883834838867,1640
2017-11-16,20.0,20.0,19.5,19.5,16.861989974975586,940
2017-11-17,19.450000762939453,19.5,19.25,19.5,16.861989974975586,920
2017-11-20,19.75,20.149999618530273,19.75,20.0,17.294355392456055,1680
2017-11-21,20.0,20.25,19.5,19.5,16.861989974975586,1080
2017-11-22,19.75,20.5,19.75,20.0,17.294355392456055,1280
2017-11-24,19.5,20.25,19.5,20.25,17.510534286499023,300
2017-11-27,19.75,20.0,19.0,19.0,16.429637908935547,1680
2017-11-28,18.75,18.799999237060547,18.25,18.5,15.99727725982666,2340
2017-11-29,18.75,19.5,18.649999618530273,19.0,16.429637908935547,5880
2017-11-30,18.75,19.0,18.25,18.75,16.21345329284668,3580
2017-12-01,18.5,18.75,18.5,18.75,16.21345329284668,220
2017-12-04,18.75,18.75,17.75,17.75,15.348739624023438,2660
2017-12-05,17.75,18.5,17.5,18.5,15.99727725982666,2840
2017-12-06,18.25,18.299999237060547,17.5,18.0,15.564919471740723,800
2017-12-07,18.25,18.25,18.0,18.0,15.564919471740723,1120
2017-12-08,17.899999618530273,18.0,17.75,17.75,15.348739624023438,480
2017-12-11,18.0,18.149999618530273,18.0,18.0,15.564919471740723,920
2017-12-12,17.5,18.299999237060547,17.5,18.25,15.781091690063477,1540
2017-12-13,18.25,18.5,18.0,18.5,15.99727725982666,1320
2017-12-14,17.5,18.5,17.5,18.0,15.564919471740723,5160
2017-12-15,17.75,18.75,17.5,17.75,15.348739624023438,5460
2017-12-18,17.5,18.0,17.5,17.75,15.348739624023438,360
2017-12-19,18.25,18.5,18.049999237060547,18.5,15.99727725982666,1920
2017-12-20,18.25,18.5,17.850000381469727,18.0,15.564919471740723,1140
2017-12-21,18.25,18.25,17.75,17.850000381469727,15.435210227966309,1380
2017-12-22,17.75,18.0,17.5,18.0,15.564919471740723,1560
2017-12-26,17.75,18.25,17.75,17.75,15.348739624023438,1460
2017-12-27,17.75,18.0,17.75,17.75,15.348739624023438,1440
2017-12-28,18.0,18.0,17.5,17.5,15.132558822631836,3560
2017-12-29,17.299999237060547,18.0,17.25,17.75,15.43695068359375,3960
2018-01-02,17.25,18.0,17.25,17.25,15.002102851867676,3520
2018-01-03,17.25,18.5,17.25,18.5,16.089216232299805,2680
2018-01-04,18.5,18.75,18.450000762939453,18.5,16.089216232299805,2000
2018-01-05,18.75,18.75,18.600000381469727,18.75,16.3066349029541,880
2018-01-08,18.5,19.0,18.5,19.0,16.52406120300293,1900
2018-01-09,18.899999618530273,19.0,18.899999618530273,19.0,16.52406120300293,1380
2018-01-10,19.0,19.0,19.0,19.0,16.52406120300293,880
2018-01-11,18.75,19.5,18.75,19.399999618530273,16.871931076049805,1060
2018-01-12,19.25,19.75,19.25,19.5,16.95889663696289,2040
2018-01-16,19.25,20.0,19.25,19.5,16.95889663696289,1440
2018-01-17,19.25,20.25,19.25,20.25,17.611169815063477,880
2018-01-18,19.75,20.049999237060547,19.75,19.75,17.17632484436035,1900
2018-01-19,20.0,20.25,19.75,20.0,17.393747329711914,680
2018-01-22,19.75,19.75,19.25,19.25,16.74148178100586,420
2018-01-23,18.75,19.149999618530273,18.75,18.75,16.3066349029541,1220
2018-01-24,18.75,19.25,18.75,19.25,16.74148178100586,1400
2018-01-25,19.350000381469727,19.350000381469727,19.25,19.25,16.74148178100586,460
2018-01-26,18.799999237060547,18.850000381469727,18.25,18.5,16.089216232299805,2780
2018-01-29,18.0,18.450000762939453,18.0,18.399999618530273,16.00224494934082,260
2018-01-30,18.25,18.5,18.25,18.25,15.871788024902344,1340
2018-01-31,18.0,18.5,18.0,18.0,15.654372215270996,1160
2018-02-01,17.799999237060547,18.5,17.799999237060547,18.0,15.654372215270996,1020
2018-02-02,18.25,18.25,18.0,18.25,15.871788024902344,620
2018-02-05,18.25,18.25,18.25,18.25,15.871788024902344,400
2018-02-06,18.0,18.5,18.0,18.25,15.871788024902344,980
2018-02-07,18.049999237060547,18.25,18.049999237060547,18.25,15.871788024902344,300
2018-02-08,18.25,18.25,18.25,18.25,15.871788024902344,200
2018-02-09,18.100000381469727,18.100000381469727,17.75,18.0,15.654372215270996,1040
2018-02-12,18.0,18.5,18.0,18.25,15.871788024902344,1060
2018-02-13,18.5,18.5,17.5,17.75,15.43695068359375,1160
2018-02-14,17.75,17.75,17.600000381469727,17.75,15.43695068359375,880
2018-02-15,17.5,18.5,17.5,18.5,16.089216232299805,900
2018-02-16,18.5,18.5,18.350000381469727,18.5,16.089216232299805,560
2018-02-20,18.25,18.5,18.0,18.0,15.654372215270996,920
2018-02-21,18.149999618530273,18.149999618530273,18.049999237060547,18.049999237060547,15.697856903076172,80
2018-02-22,18.0,18.25,18.0,18.25,15.871788024902344,240
2018-02-23,18.149999618530273,18.5,18.149999618530273,18.25,15.871788024902344,720
2018-02-26,18.0,18.25,18.0,18.25,15.871788024902344,400
2018-02-27,18.25,18.5,18.25,18.5,16.089216232299805,680
2018-02-28,18.5,18.75,17.75,17.75,15.43695068359375,1900
2018-03-01,18.25,18.5,18.0,18.0,15.654372215270996,380
2018-03-02,18.0,18.25,18.0,18.25,15.871788024902344,660
2018-03-05,18.25,18.25,18.0,18.25,15.871788024902344,540
2018-03-06,18.0,18.149999618530273,17.25,17.5,15.219527244567871,7320
2018-03-07,17.75,17.75,17.75,17.75,15.43695068359375,2340
